Radiación global media diaria (decenas de kilojulios por metro cuadrado);;;;;;;;;;;;;;;;;;;
Indicativo;NOMBRE;ALTITUD;NOM_PROV;LONGITUD;LATITUD;Año;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;Media
C429I;TENERIFE/SUR;64;SANTA CRUZ DE TENERIFE;1633402;280249;2010;1307;1477;2050;2185;2406;2501;2518;2453;2038;1693;1266;1115;1917
C429I;TENERIFE/SUR;64;SANTA CRUZ DE TENERIFE;1633402;280249;2011;1431;1703;2037;2129;2296;2581;2591;2509;2191;1651;1305;1252;1973
C429I;TENERIFE/SUR;64;SANTA CRUZ DE TENERIFE;1633402;280249;2012;;;;2075;2612;2662;2622;2501;2164;1630;1196;1297;
C429I;TENERIFE/SUR;64;SANTA CRUZ DE TENERIFE;1633402;280249;2013;1422;1535;1988;2264;2515;2869;2751;2439;2222;1809;1300;1167;2023
C429I;TENERIFE/SUR;64;SANTA CRUZ DE TENERIFE;1633402;280249;2014;1345;1751;2340;2333;2727;2735;2650;2699;2138;1679;1344;1226;2081
C429I;TENERIFE/SUR;64;SANTA CRUZ DE TENERIFE;1633402;280249;2015;1333;1541;2070;2477;;;;;;;;;
C430E;IZAÑA;2371;SANTA CRUZ DE TENERIFE;1629582;281832;2005;;;;;;;3251;2821;2578;1944;1563;;
C430E;IZAÑA;2371;SANTA CRUZ DE TENERIFE;1629582;281832;2006;1433;1794;2629;2971;;3397;3177;2973;2457;;1371;1501;
C430E;IZAÑA;2371;SANTA CRUZ DE TENERIFE;1629582;281832;2007;1423;2092;2288;2922;3110;3460;;3112;2683;2134;1594;1532;
C430E;IZAÑA;2371;SANTA CRUZ DE TENERIFE;1629582;281832;2008;1611;1878;2407;3013;3138;3328;3198;2839;2287;1944;1540;1478;2388
C430E;IZAÑA;2371;SANTA CRUZ DE TENERIFE;1629582;281832;2009;1548;1759;2112;3091;3369;3277;3169;3006;2369;2184;1810;1420;2426
C430E;IZAÑA;2371;SANTA CRUZ DE TENERIFE;1629582;281832;2010;1671;1745;2532;2723;3126;3435;3246;2948;2423;1990;1681;1525;2420
